INFO mlfcs.reciprocal.scph.solver: SCPH iteration 42: delta_omega=1.886951e-08 THz, frequency_min=1.099504e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=43
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 43: delta_omega=1.011923e-08 THz, frequency_min=-3.873272e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=44
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 44: delta_omega=8.040185e-09 THz, frequency_min=-7.954788e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=45
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 45: delta_omega=1.120360e-08 THz, frequency_min=-1.950654e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=46
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 46: delta_omega=6.682377e-09 THz, frequency_min=1.636054e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=47
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 47: delta_omega=2.270289e-08 THz, frequency_min=-7.629582e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=48
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 48: delta_omega=2.295881e-08 THz, frequency_min=1.949037e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=49
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 49: delta_omega=1.069001e-08 THz, frequency_min=-3.624163e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=50
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 50: delta_omega=4.937053e-09 THz, frequency_min=-4.456806e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=51
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 51: delta_omega=1.975937e-08 THz, frequency_min=-5.047054e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=52
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 52: delta_omega=2.450525e-08 THz, frequency_min=1.812402e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=53
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 53: delta_omega=1.351565e-08 THz, frequency_min=-4.403259e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=54
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 54: delta_omega=5.397123e-09 THz, frequency_min=-1.703261e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=55
INFO mlfcs.reciprocal.scph.solver: SCPH iteration 55: delta_omega=1.058773e-08 THz, frequency_min=-7.423852e-08 THz, frequency_max=8.309894e+00 THz, correction_norm=1.355124e+00, q_points=1, irreducible=1, reduction=1.00, diagonalizations=56
